playerName,year,mu,sigma
Nathan; SD.,1850,1076.36816289907,377.350903695793
Anderssen; Adolf,1850,1456.03936611968,97.4242021235691
Anderssen; Adolf,1851,1457.36334417841,89.9215827312496
Anderssen; Adolf,1852,1453.08710865081,93.952897137495
Anderssen; Adolf,1853,1447.25311068771,98.1208018648578
Anderssen; Adolf,1854,1446.98250750371,102.347218023144
Anderssen; Adolf,1855,1449.30187942515,106.322731770681
Medley; George Webb,1850,1250.65425215972,309.394554254816
Mongredien; Augustus,1850,1078.81227495097,276.493427231083
Mongredien; Augustus,1851,1078.57595792085,278.153463088121
Mc Connell; James,1850,1095.43337802064,379.745075066974
Morphy; Paul,1850,1641.88953116528,211.540948879912
Morphy; Paul,1851,1642.18843225965,210.7620647194
Morphy; Paul,1852,1641.13488801837,210.169330625004
Morphy; Paul,1853,1639.02922631543,209.688109866553
Morphy; Paul,1854,1636.9280781757,209.172088780994
Morphy; Paul,1855,1627.32611557022,212.264872597986
Loewenthal; Johann Jacob,1850,1297.14022277022,116.181325620416
Loewenthal; Johann Jacob,1851,1301.68823173466,110.661195321614
Loewenthal; Johann Jacob,1852,1310.45387609192,111.704035039485
Loewenthal; Johann Jacob,1853,1313.95412267812,112.292060593187
Loewenthal; Johann Jacob,1854,1316.85645951097,119.058713750607
Morphy; Ernest,1850,1010.17546397134,363.866355981344
Stanley; Charles Henry,1850,1456.40790229828,232.051403168448
Stanley; Charles Henry,1851,1457.13909146095,234.223943009136
Stanley; Charles Henry,1852,1456.19157880504,236.37960336456
Mahescandra,1850,991.562987961157,74.5679878124085
Mahescandra,1851,994.804860275255,67.4962376408136
Mahescandra,1852,1000.06230993875,62.8862746838571
Mahescandra,1853,1014.43275573257,59.4672429357214
Mahescandra,1854,1019.954278413,57.3314902791522
Mahescandra,1855,1023.00649240859,60.7624400784781
Cochrane; John,1850,1412.46119562871,74.0790188142012
Cochrane; John,1851,1408.87780008246,66.8876889650922
Cochrane; John,1852,1403.43816177221,62.0590946198145
Cochrane; John,1853,1389.12290556685,58.2659875758705
Cochrane; John,1854,1383.7472390289,55.4749270388812
Cochrane; John,1855,1380.71912092598,57.6265285275081
Shumov; Ilia S,1850,1066.86776213266,193.313755895575
Shumov; Ilia S,1851,1065.37571015405,191.909757492127
Shumov; Ilia S,1852,1061.80013984479,191.246194730805
Shumov; Ilia S,1853,1057.44519399507,190.471745482499
Shumov; Ilia S,1854,1055.73284380499,192.19142981433
Von Jaenisch; Carl Friedrich,1850,1006.97248000474,165.51160952461
Von Jaenisch; Carl Friedrich,1851,1008.83187742896,163.798888724646
Von Jaenisch; Carl Friedrich,1852,1017.49697521716,165.792532545266
Von Jaenisch; Carl Friedrich,1853,1021.13557788558,167.624996309467
Von Jaenisch; Carl Friedrich,1854,1024.774180554,169.32153492849
Turner; John Spencer,1850,1000.82104819306,262.157449568929
Wallenrath,1850,1239.57607107307,320.803874139918
Mayet; Carl,1851,938.857850095193,182.766514374139
Mayet; Carl,1852,941.88191815314,182.484932365531
Mayet; Carl,1853,943.445276985235,181.995948160413
Mayet; Carl,1854,945.008635817331,181.400779236676
Mayet; Carl,1855,946.571994649426,180.698376370818
Kennedy; Hugh Alexander,1851,1329.44262810562,206.963802756782
Williams; Elijah,1851,1198.15624096269,103.379617287593
Williams; Elijah,1852,1195.00578503527,104.535323196219
Loewe; Edward,1851,690.548469586426,241.474641406784
Wyvill; Marmaduke,1851,1307.24729620627,185.259733863072
